year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2014,Nanyang Technological University,College of Engineering,Mechanical Engineering,90.2,87.8,3161,3000,3289,3100,3000,3500
2014,Nanyang Technological University,College of Engineering,Maritime Studies,92.5,92.5,3163,3050,3206,3050,3000,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",80,68,2761,2600,2791,2700,2300,3000
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,86.8,75.8,2927,3000,3006,3000,2700,3300
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,86.7,77.9,2891,2800,2976,3000,2600,3294
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,88.7,78.4,3183,3075,3222,3200,3000,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,87,63,3137,3000,3432,3100,2800,3990
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,85.7,66.7,3066,3000,3148,3230,2800,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,66.7,54.9,3197,3100,3228,3100,2800,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,73.2,67.9,3002,3000,3143,3100,2800,3260
2014,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,100,100,2974,2900,3018,2900,2786,3400
2014,Nanyang Technological University,College of Sciences,Biological Sciences,75.1,60.8,3083,3000,3174,3000,2800,3400
2014,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,80.5,68.3,3006,3000,3321,3100,2800,3400
2014,Nanyang Technological University,College of Sciences,Mathematics & Economics,88.4,87,3155,3200,3142,3200,2800,3500
2014,Nanyang Technological University,College of Sciences,Mathematical Science,91.3,79.7,3022,3000,3078,3200,2800,3300
2014,Nanyang Technological University,College of Sciences,Physics / Applied Physics,73.7,63.2,3034,3000,3241,3100,2800,3560
2014,Nanyang Technological University,College of Sciences,Sports Science and Management,87.9,69.7,3076,2800,3229,3000,2700,3590
2014,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3358,3400,3475,3475,3400,3750
2014,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3388,3400,3536,3475,3400,3700
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,81.9,65.3,2719,2750,2883,2800,2500,3010
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),83.1,76.6,3141,3210,3277,3300,3000,3600
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.7,80.1,3192,3200,3304,3250,3000,3600
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration,87.9,83.6,3234,3000,3367,3000,2800,3300
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),94.4,90.6,3979,3500,4090,3520,3200,4300
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),93.9,89.8,2836,2800,2989,2838,2700,3000
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),100,96.3,3350,2850,3407,2912,2800,3614
2014,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),82.1,82.1,3107,3000,3129,3088,2900,3300
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),90.6,85.9,3729,3500,3712,3500,3300,4000
2014,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),85.7,85.7,3183,3000,3386,3200,3000,3500
2014,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),95.5,92,3684,3352,3789,3500,3100,4039
2014,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4054,4000,4054,4000,4000,4020
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,98.4,95.2,4290,4200,4400,4275,4000,4750
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),77.3,59.1,2600,2550,2603,2565,2200,3000
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),95.3,94.1,3089,3000,3181,3000,2900,3360
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),93.1,89.2,2931,2950,3108,3000,2750,3300
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering) ^^,87.5,77.1,2966,3000,3058,3000,2700,3300
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),83.9,76.4,3277,3200,3434,3300,3000,3650
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),97.1,97.1,3212,3200,3281,3208,3000,3500
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),95.2,92.4,3674,3500,3762,3500,3200,4080
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),90.6,88.1,3306,3200,3571,3300,3000,3800
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),81.3,62.5,3375,3300,3465,3400,3275,3790
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),95.2,92.9,3250,3200,3215,3230,3000,3422
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.5,96.5,3591,3350,3719,3600,3200,4000
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),78.6,73.8,3054,3100,3350,3300,3000,3600
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),90,88.5,3160,3100,3323,3200,3000,3500
2014,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,98.2,97.6,5027,5000,5247,5150,4800,5800
2014,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,100,100,4404,4500,4886,5000,4500,5200
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),100,95.6,2976,3000,3188,3200,3050,3386
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,3123,3270,3353,3500,3270,3600
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),95.5,81.8,2760,2750,2831,2800,2600,3000
2014,National University of Singapore,Faculty of Science,Bachelor of Science,76.8,61.4,2804,2800,2973,3000,2700,3200
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),86.6,75.8,3224,3200,3328,3210,2950,3600
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,98.9,96.7,3467,3500,3670,3630,3470,4000
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,100,86.7,2490,2700,2490,2700,2575,2800
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,90.6,84.4,2586,2600,2603,2600,2300,2885
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,100,100,2932,2875,2955,2975,2800,3075
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,100,100,2859,3000,2910,3000,2700,3300
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,89.1,78.3,2547,2500,2595,2500,2400,2800
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,93.9,90.9,2553,2500,2583,2500,2373,2800
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,90.1,84.5,3041,3000,3325,3300,3000,3650
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,92.6,88.9,3208,3100,3334,3260,3003,3594
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,97.1,85.7,3196,3000,3273,3100,3000,3338
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,94.1,3293,3355,3467,3500,3233,3675
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,91.3,91.3,3311,3200,3467,3300,3075,3625
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,75,61.4,2806,2750,2854,2800,2500,3170
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,86.7,86.7,2954,2900,3285,3200,2950,3755
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,85.7,82.1,3072,2900,3141,3000,2800,3480
2014,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,89.3,89.3,2430,2400,2503,2500,2200,2600
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3127,3100,3151,3100,3000,3338
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),100,100,3204,3200,3229,3200,3000,3500
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,88,88,3396,3000,3415,3000,2849,4194
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,85.7,75,3217,3100,3333,3150,2900,3500
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,92.3,92.3,3229,3000,3424,3250,2950,3556
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,93,87.3,3067,3050,3209,3100,2964,3443
2014,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,97.2,94.4,3230,3260,3464,3511,3115,3860
2014,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),88.8,78,2445,2500,2634,2500,2300,2900
2014,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,97.1,97.1,2509,2600,2553,2600,2475,2613
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering,86,86,3699,3650,3724,3700,3450,4000
2015,Nanyang Technological University,College of Engineering,Bioengineering,92.6,76.5,3079,3000,3197,3113,2900,3450
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,86.8,80.9,3156,3100,3373,3300,3000,3600
2015,Nanyang Technological University,College of Engineering,Computer Engineering,85.1,83,3489,3350,3577,3500,3200,4000
2015,Nanyang Technological University,College of Engineering,Civil Engineering,95.3,93,3125,3100,3206,3200,3000,3300
2015,Nanyang Technological University,College of Engineering,Computer Science,92.4,91.4,3489,3300,3535,3300,3150,3800
2015,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,88.6,86.2,3345,3200,3446,3300,3000,3690
2015,Nanyang Technological University,College of Engineering,Environmental Engineering,89.7,82.1,3472,3200,3673,3300,3000,3835
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media,87.3,80,3271,3200,3375,3275,3000,3500
2015,Nanyang Technological University,College of Engineering,Materials Engineering,82.9,76.8,3213,3100,3397,3200,3000,3600
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering,88,80.7,3248,3200,3388,3250,3000,3600
2015,Nanyang Technological University,College of Engineering,Maritime Studies,95,95,3249,3200,3271,3200,3000,3300
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",79.3,56.9,3284,2800,3457,2800,2200,3000
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,81.8,76.6,2978,3000,3045,3200,2800,3500
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,85.1,74.4,2921,2900,3008,3000,2600,3330
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,87.4,75.9,3322,3200,3496,3300,3000,3800
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,88,74,3238,3000,3322,3314,2604,3743
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,88.4,55.8,3475,3000,3753,3000,2800,3600
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,73.3,52,3099,3121,3264,3200,2800,3562
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,85.7,79.4,3260,3000,3402,3125,2700,3600
2015,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,100,100,2832,2800,2882,2800,2500,3105
2015,Nanyang Technological University,College of Sciences,Biological Sciences,74.6,65.3,3117,3000,3229,3190,2875,3600
2015,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,83.9,72.3,2960,2900,3139,3000,2800,3500
2015,Nanyang Technological University,College of Sciences,Mathematics & Economics,95.3,84.4,3291,3000,3440,3205,2925,3500
2015,Nanyang Technological University,College of Sciences,Mathematical Science,81.8,72.7,3254,3125,3402,3240,2950,3500
2015,Nanyang Technological University,College of Sciences,Physics / Applied Physics,82.1,69.6,3098,3000,3186,3200,2900,3400
2015,Nanyang Technological University,College of Sciences,Sports Science and Management,90.7,72.1,3232,3000,3307,3295,2900,3600
2015,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3496,3500,3604,3504,3500,3855
2015,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3551,3500,3622,3500,3500,3605
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,88.4,74.6,2839,2880,2999,3000,2700,3215
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),83,70.5,3266,3310,3310,3310,3000,3625
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.6,79.8,3317,3300,3442,3310,3000,3686
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration,88.2,80.3,3164,3000,3341,3000,2800,3700
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),96,93.1,4173,3750,4326,3800,3300,4600
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),97.6,97.6,2817,2850,2983,2850,2700,2960
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),98.6,98.6,3547,3000,3587,3000,2850,3634
2015,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),92.6,85.2,3230,3500,3291,3500,2800,3800
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),97,95,3847,3700,3890,3700,3300,4400
2015,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),90.3,87.1,3255,3300,3301,3300,3000,3500
2015,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),97.2,97.2,3597,3500,3699,3550,3200,4100
2015,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4053,4000,4083,4000,4000,4400
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,97.6,96.4,4054,4114,4099,4127,3700,4500
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),72,60,2907,3000,2908,3000,2700,3200
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),94.3,90.8,2989,3000,3067,3000,2800,3215
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),93.9,89.6,3146,3000,3325,3100,2810,3500
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),86.2,75.9,3256,3200,3357,3300,3000,3500
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),86,82.9,3400,3300,3529,3500,3000,4000
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),96.5,95.3,3300,3300,3366,3350,3200,3500
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),91.8,90.6,4119,4000,4252,4000,3325,4583
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),92.1,90.4,3452,3200,3589,3300,3000,3700
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),82.6,73.9,3768,3735,3812,3800,3500,4420
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),88.1,85.7,3318,3430,3337,3450,3000,3670
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.1,94.7,3624,3475,3724,3500,3300,4030
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),100,95,3121,3200,3391,3350,3050,3790
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),83.3,80,3279,3200,3422,3300,3000,3600
2015,National University of Singapore,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,96.9,96.9,4866,4600,4910,4700,4200,5800
2015,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,100,100,4352,4500,4729,4900,4500,5000
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),97.3,97.3,3175,3200,3356,3400,3200,3445
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,3219,3200,3466,3435,3300,3700
2015,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,82.4,41.2,3244,3200,3344,3300,3000,3600
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),85.2,77.8,3203,3000,3355,3100,3000,4000
2015,National University of Singapore,Faculty of Science,Bachelor of Science,84.3,64.2,2859,2900,3052,3000,2620,3200
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),83.9,76.2,3245,3200,3321,3300,3000,3600
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,99,97.9,3431,3500,3717,3500,3400,3929
2015,National University of Singapore,Multidisciplinary Programmes,Bachelor of Environmental Studies,71.9,59.4,3400,3462,3433,3500,3238,3550
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,88.5,65.4,2643,2700,2682,2700,2500,2800
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,95.2,90.5,3332,3200,3346,3233,3000,3500
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,76.1,54.3,2896,2750,2922,2750,2523,2975
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,87.5,71.9,2520,2600,2893,2700,2500,3025
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,85.5,72.6,3097,3000,3405,3250,2900,3750
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,83,77.4,3334,3100,3452,3300,3000,3550
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,91.7,91.7,3180,3025,3354,3225,3050,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,90.5,83.3,3069,3050,3266,3200,3000,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,100,3211,3050,3266,3141,2900,3500
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,100,94.7,3166,3125,3469,3350,3238,3575
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,89.2,81.1,2683,2700,2876,2700,2475,3050
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,87.5,79.2,2759,2800,2970,2950,2800,3200
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,100,90,3044,3100,3339,3250,3000,3488
2015,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,92.6,81.5,2482,2300,2586,2400,2000,2800
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),100,100,3322,3300,3486,3488,3313,3650
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3126,3120,3149,3125,3000,3225
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),100,98.3,3234,3200,3310,3222,3200,3500
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,81.6,73.7,2766,3000,2840,3000,2614,3293
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,83.3,70.8,3128,3000,3185,3000,2882,3300
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,72.2,61.1,3160,3000,3685,3250,2960,4200
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,96.4,94.5,3202,3000,3404,3100,2975,3875
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,95.6,86.7,3247,3250,3391,3300,3152,3400
2015,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,98.3,96.7,3304,3400,3624,3615,3400,3838
2015,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),89.9,82.6,2515,2500,2607,2548,2338,2850
